"Basin","Species","Delta_FRic","Delta_FEve","Delta_FDiv","Delta_FRed"
"2","Barbodes_semifasciolatus",1.56854645475235e-06,-0.000618565941262583,-0.0015468774980445,0.219091365658365
"2","Parasinilabeo_maculatus",3.6318876075967e-08,-0.000707722322808524,-0.000827215105183576,0.250567666161004
"2","Garra_orientalis",3.06163762692645e-05,-0.000331025865672518,-0.00105483353935409,0.115590481236607
"2","Cyprinus_rubrofuscus",3.34831680339996e-08,-0.000483743384959545,-0.0018824042016794,0.0474506601402673
"2","Carassius_auratus",1.38563237947606e-05,4.9757289165564e-06,-0.000303132136067141,0.022161740673118
"2","Zacco_aff.Acanthogenys",2.77481302952771e-06,-0.000485770031552424,-3.13583506020843e-05,0.120217489572926
"2","Opsariichthys_bidens",1.88556407175178e-06,-0.000441271068929605,-0.00092775565916936,0.160320952493684
"2","Zacco_acutipinnis",9.14072309712535e-06,-0.000261037468464009,-0.000501145565185546,0.106666698293978
"2","Mylopharyngodon_piceus",3.48052623757199e-05,0.000797985226887399,0.00166887307809194,-0.0429456761585367
"2","Ctenopharyngodon_idella",4.23389024729072e-05,0.000414850721817184,0.00154999892394048,-0.0343509524902608
"2","Squaliobarbus_curriculus",4.61606007431592e-06,0.000323464469900392,0.000719594838206494,-0.0225107877812114
"2","Ochetobius_elongatus",5.4680812752332e-06,0.00033584229166933,0.000793542161561689,-0.0354068174146285
"2","Luciobrama_macrocephalus",2.64668265230835e-05,0.000268647161500768,0.00208095029644839,-0.0401717321339952
"2","Elopichthys_bambusa",9.30658293339539e-05,0.000224379906398509,-0.000725940358381805,-0.0617270133873742
"2","Sinibrama_macrops",3.39023802062038e-05,8.77126796400285e-05,-0.000445615632410523,0.0501352170622908
"2","Pseudolaubuca_sinensis",3.16690419917666e-07,-0.000535713497882506,-0.00114464137398462,0.134756098077515
"2","Pseudolaubuca_engraulis",6.94828451790887e-06,0.000392716066554222,-0.0017034533994732,-0.0200605189029801
"2","Toxabramis_swinhonis",3.98356266660135e-05,0.00131833288107053,1.82792113845309e-06,-0.0253041024220177
"2","Hemiculter_leucisculus",2.9007111955448e-05,0.000574652784860352,-4.15047094092236e-05,-0.0333541116295812
"2","Hemiculter_bleekeri",0.000126561467212292,-0.000290175892406819,-0.000347253220815191,-0.0673850042142039
"2","Hemiculterella_sauvagei",2.24493553322418e-07,-0.000529189580606548,-0.000859972838500256,0.153773791071933
"2","Hemiculterella_wui",2.35032934878397e-06,-0.000406580404035184,-0.000534209928925944,0.123577699836087
"2","Pseudohemiculter_dispar",4.67815480938874e-06,-0.00016194064673819,-0.00205979184593341,0.0220554738386269
"2","Pseudohemiculter_hainanensis",3.57989962682729e-07,-0.000559060941609013,-0.0012841607714682,0.142989485449947
"2","Culter_alburnus",3.8633250100988e-06,-0.000430416572457459,-0.00170075944511139,0.104564285531373
"2","Chanodichthys_erythropterus",3.71239626732666e-05,0.00126617605958679,-0.000625424002362762,-0.0359253737718213
"2","Chanodichthys_mongolicus",3.98598756052955e-07,-0.000528410080611774,-0.00186725111425923,0.124670657391608
"2","Chanodichthys_oxycephalus",1.30824299859226e-06,-0.00043428792488015,-0.00155316961691798,0.108978456150567
"2","Chanodichthys_dabryi",4.45715135827182e-08,-0.000543623265462145,-0.00165126831696916,0.12781591985684
"2","Parabramis_pekinensis",0.000118790318388974,0.000122042097278341,0.00574817952570028,-0.0675265425661458
"2","Megalobrama_amblycephala",5.36966766408441e-08,-0.000764402523211249,-0.000799324888741459,0.19385215032616
"2","Megalobrama_terminalis",3.77367300969507e-08,-0.000757341272131173,-0.000861969394125972,0.200573029466431
"2","Xenocypris_macrolepis",8.83239801593149e-05,0.000284068415440875,0.00081721128446377,-0.0615788630438114
"2","Xenocypris_davidi",3.1180682169616e-05,0.000305448630052108,0.000900744772544537,-0.0295522174375868
"2","Plagiognathops_microlepis",6.07761308333096e-05,0.000404632914210112,-0.00155925570470661,-0.0511667561420435
"2","Distoechodon_tumirostris",1.37818682810433e-05,0.000484545129023739,0.000994817404850412,-0.0221965841342655
"2","Pseudobrama_simoni",3.53442650350816e-05,0.000256479521522912,0.00121991234868046,-0.0352192240503566
"2","Hypophthalmichthys_nobilis",2.29653087749547e-05,0.000958407520359639,0.00162530714636455,-0.0410717718294364
"2","Hypophthalmichthys_molitrix",0.000102312091667564,0.000198078833330839,0.00306050803473257,-0.0637718112378991
"2","Aphyocypris_chinensis",1.49359287436614e-05,6.73117974832049e-05,0.000236537403287218,0.0732482540753843
"2","Acheilognathus_macropterus",5.74756211590787e-05,0.000269277887657238,-0.0015387753270224,-0.0549251078789226
"2","Acheilognathus_tonkinensis",2.64458859098505e-06,-0.000400096909822456,0.00163380441719863,0.0275012820706024
"2","Acheilognathus_barbatulus",5.25078605770962e-07,-0.000440901544198846,0.00169405878204498,0.0297766193945783
